sinco11,descripcion_sinco,ciuo08,descripcion_ciuo
1526,Coordinadores y jefes de área en servicios de vigilancia y seguridad,1439,Gerentes de servicios no clasificados bajo otros epígrafes 
16,Coordinadores y jefes de área en producción y tecnología,,
161,"Coordinadores y jefes de área en producción agropecuaria, industrial, construcción y mantenimiento",,
1611,"Coordinadores y jefes de área en producción agropecuaria, silvícola y pesquera",1311,Directores de producción agropecuaria y silvicultura
1611,"Coordinadores y jefes de área en producción agropecuaria, silvícola y pesquera",1312,Directores de producción de piscicultura y pesca
1612,"Coordinadores y jefes de área en producción minera, petrolera y gas",1322,Directores de explotaciones de minería
1613,Coordinadores y jefes de área en generación y provisión de energía eléctrica y agua  ,NA,No tiene correspondencia
1614,Coordinadores y jefes de área en producción manufacturera,1321,Directores de industrias manufactureras
1615,"Coordinadores y jefes de área en construcción, reparación y mantenimiento",1323,Directores de empresas de construcción
1619,"Otros coordinadores y jefes de área en producción agropecuaria, industrial, construcción y mantenimiento, no clasificados anteriormente",NA,No tiene correspondencia
162,"Coordinadores y jefes de área en informática, telecomunicaciones, transporte y en investigación y desarrollo tecnológico",,
1621,Coordinadores y jefes de área en informática,1330,Directores de servicios de tecnología de la información y las comunicaciones
1622,Coordinadores y jefes de área en comunicación y telecomunicaciones,1330,Directores de servicios de tecnología de la información y las comunicaciones
1623,Coordinadores y jefes de área en servicios de transporte,1324,"Directores de empresas de abastecimiento, distribución y afines"
1624,Coordinadores y jefes de área en centros de investigación y desarrollo tecnológico,1223,Directores de investigación y desarrollo
1629,"Otros coordinadores y jefes de área  en informática, telecomunicaciones, transporte y en investigación y desarrollo tecnológico, no clasificados anteriormente",NA,No tiene correspondencia
17,"Coordinadores y jefes de área de ventas, restaurantes, hoteles y otros establecimientos",,
171,"Coordinadores y jefes de área de ventas, restaurantes y hoteles",,
1711,"Coordinadores y jefes de área de ventas, comercialización y alquiler",1221,Directores de ventas y comercialización
1711,"Coordinadores y jefes de área de ventas, comercialización y alquiler",1222,Directores de publicidad y relaciones públicas
1711,"Coordinadores y jefes de área de ventas, comercialización y alquiler",1420,Gerentes de comercios al por mayor y al por menor
1712,Coordinadores y jefes de área de restaurantes y hoteles,1411,Gerentes de hoteles
1712,Coordinadores y jefes de área de restaurantes y hoteles,1412,Gerentes de restaurantes
172,"Coordinadores y jefes de área en museos, cines y otros establecimientos",,
1721,"Coordinadores y jefes de área en actividades artísticas, de cine, teatro y afines",2654,"Directores de cine, de teatro y afines"
1722,"Coordinadores y jefes de área en museos, cines, deportivos y servicios culturales",1431,"Gerentes de centros deportivos, de esparcimiento y culturales"
1723,Coordinadores y jefes de área en servicios funerarios y otros servicios,1439,Gerentes de servicios no clasificados bajo otros epígrafes
19,"Otros directores, funcionarios, gerentes, coordinadores y jefes de área, no clasificados",,
199,"Otros directores, funcionarios, gerentes, coordinadores y jefes de área, no clasificados anteriormente",,
1999,"Otros directores, funcionarios, gerentes, coordinadores y jefes de área, no clasificados anteriormente",NA,No tiene correspondencia
2,Profesionistas y técnicos ,,
21,"Especialistas en ciencias económico-administrativas, ciencias sociales, humanistas y en artes",,
211,Administradores y mercadólogos,,
2111,Administradores y especialistas en recursos humanos y sistemas de gestión,2421,Analistas de gestión y organización
2111,Administradores y especialistas en recursos humanos y sistemas de gestión,2422,Especialistas en políticas de administración
2111,Administradores y especialistas en recursos humanos y sistemas de gestión,2423,Especialistas en políticas y servicios de personal y afines
2111,Administradores y especialistas en recursos humanos y sistemas de gestión,2424,Especialistas en formación del personal
2112,"Especialistas y consultores en mercadotecnia, publicidad, comunicación y comercio exterior",2431,Profesionales de la publicidad y la comercialización
2112,"Especialistas y consultores en mercadotecnia, publicidad, comunicación y comercio exterior",2432,Profesionales de relaciones públicas
2113,Especialistas en hotelería y turismo,2422,Especialistas en políticas de administración
212,"Contadores, auditores, especialistas en finanzas y en economía",,
2121,Contadores y auditores,2411,Contables
2122,Asesores y analistas en finanzas,2412,Asesores financieros y en inversiones
2122,Asesores y analistas en finanzas,2413,Analistas financieros
2123,"Economistas, consultores e investigadores en política económica",2631,Economistas
213,Investigadores y especialistas en ciencias sociales,,
2131,"Antropólogos, arqueólogos e historiadores",2633,"Filósofos, historiadores y especialistas en ciencias políticas"
2131,"Antropólogos, arqueólogos e historiadores",2632,"Sociólogos, antropólogos y afines"
2132,Investigadores y especialistas en sociología y desarrollo social,2632,"Sociólogos, antropólogos y afines"
2132,Investigadores y especialistas en sociología y desarrollo social,2164,Urbanistas e ingenieros de tránsito
2133,Investigadores y especialistas en ciencias políticas y administración pública ,2633,"Filósofos, historiadores y especialistas en ciencias políticas"
2134,Geógrafos ,2632,"Sociólogos, antropólogos y afines"
2135,Abogados,2611,Abogados
2135,Abogados,2619,Profesionales en derecho no clasificados bajo otros epígrafes
214,Investigadores y especialistas en ciencias humanistas,,
2141,Investigadores y especialistas en filosofía y letras (filólogos),2633,"Filósofos, historiadores y especialistas en ciencias políticas"
2142,Psicólogos ,2634,Psicólogos
2143,Especialistas en trabajo social,2635,Profesionales del trabajo social
2144,"Especialistas en archivonomía, biblioteconomía y museografía",2621,Archivistas y curadores de museos
2144,"Especialistas en archivonomía, biblioteconomía y museografía",2622,"Bibliotecarios, documentalistas y afines"
2145,"Sacerdotes, pastores y otros teólogos",2636,Profesionales religiosos
